Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,0.96,0.96,0.96,0.96,000,0.96
2012-06-01,0.97,0.97,0.97,0.97,000,0.97
2012-05-31,0.97,0.97,0.97,0.97,000,0.97
2012-05-30,0.97,0.97,0.97,0.97,000,0.97
2012-05-29,0.96,0.96,0.96,0.96,000,0.96
2012-05-28,0.96,0.96,0.96,0.96,000,0.96
2012-05-25,0.96,0.96,0.96,0.96,000,0.96
2012-05-24,0.96,0.96,0.96,0.96,000,0.96
2012-05-23,0.95,0.95,0.95,0.95,000,0.95
2012-05-22,0.95,0.95,0.95,0.95,000,0.95
2012-05-21,0.94,0.94,0.94,0.94,000,0.94
2012-05-18,0.94,0.94,0.94,0.94,000,0.94
2012-05-17,0.94,0.94,0.94,0.94,000,0.94
2012-05-16,0.94,0.94,0.94,0.94,000,0.94
2012-05-14,0.94,0.94,0.94,0.94,000,0.94
2012-05-11,0.93,0.93,0.93,0.93,000,0.93
2012-05-10,0.93,0.93,0.93,0.93,000,0.93
2012-05-09,0.93,0.93,0.93,0.93,000,0.93
2012-05-08,0.92,0.92,0.92,0.92,000,0.92
2012-05-07,0.92,0.92,0.92,0.92,000,0.92
2012-05-04,0.92,0.92,0.92,0.92,000,0.92
2012-05-03,0.91,0.91,0.91,0.91,000,0.91
2012-05-02,0.91,0.91,0.91,0.91,000,0.91
2012-05-01,0.91,0.91,0.91,0.91,000,0.91
2012-04-30,0.91,0.91,0.91,0.91,000,0.91
2012-04-27,0.91,0.91,0.91,0.91,000,0.91
2012-04-26,0.91,0.91,0.91,0.91,000,0.91
2012-04-25,0.91,0.91,0.91,0.91,000,0.91
2012-04-24,0.91,0.91,0.91,0.91,000,0.91
2012-04-23,0.91,0.91,0.91,0.91,000,0.91
2012-04-20,0.91,0.91,0.91,0.91,000,0.91
2012-04-19,0.92,0.92,0.92,0.92,000,0.92
2012-04-18,0.92,0.92,0.92,0.92,000,0.92
2012-04-17,0.92,0.92,0.92,0.92,000,0.92
2012-04-16,0.92,0.92,0.92,0.92,000,0.92
2012-04-13,0.92,0.92,0.92,0.92,000,0.92
2012-04-12,0.91,0.91,0.91,0.91,000,0.91
2012-04-11,0.92,0.92,0.92,0.92,000,0.92
2012-04-10,0.92,0.92,0.92,0.92,000,0.92
2012-04-09,0.92,0.92,0.92,0.92,000,0.92
2012-04-06,0.92,0.92,0.92,0.92,000,0.92
2012-04-05,0.92,0.92,0.92,0.92,000,0.92
2012-04-04,0.92,0.92,0.92,0.92,000,0.92
2012-04-03,0.91,0.91,0.91,0.91,000,0.91
2012-04-02,0.90,0.90,0.90,0.90,000,0.90
2012-03-30,0.90,0.90,0.90,0.90,000,0.90
2012-03-29,0.91,0.91,0.91,0.91,000,0.91
2012-03-28,0.91,0.91,0.91,0.91,000,0.91
2012-03-27,0.90,0.90,0.90,0.90,000,0.90
2012-03-26,0.90,0.90,0.90,0.90,000,0.90
2012-03-23,0.91,0.91,0.91,0.91,000,0.91
2012-03-22,0.91,0.91,0.91,0.91,000,0.91
2012-03-21,0.91,0.91,0.91,0.91,000,0.91
2012-03-20,0.91,0.91,0.91,0.91,000,0.91
2012-03-19,0.91,0.91,0.91,0.91,000,0.91
2012-03-16,0.92,0.92,0.92,0.92,000,0.92
2012-03-15,0.92,0.92,0.92,0.92,000,0.92
2012-03-14,0.93,0.93,0.93,0.93,000,0.93
2012-03-13,0.92,0.92,0.92,0.92,000,0.92
2012-03-12,0.92,0.92,0.92,0.92,000,0.92
2012-03-08,0.91,0.91,0.91,0.91,000,0.91
2012-03-07,0.92,0.92,0.92,0.92,000,0.92
2012-03-06,0.92,0.92,0.92,0.92,000,0.92
2012-03-05,0.91,0.91,0.91,0.91,000,0.91
2012-03-02,0.91,0.91,0.91,0.91,000,0.91
2012-03-01,0.91,0.91,0.91,0.91,000,0.91
2012-02-29,0.90,0.90,0.90,0.90,000,0.90
2012-02-28,0.90,0.90,0.90,0.90,000,0.90
2012-02-27,0.90,0.90,0.90,0.90,000,0.90
2012-02-24,0.90,0.90,0.90,0.90,000,0.90
2012-02-23,0.90,0.90,0.90,0.90,000,0.90
2012-02-22,0.91,0.91,0.91,0.91,000,0.91
2012-02-21,0.91,0.91,0.91,0.91,000,0.91
2012-02-20,0.91,0.91,0.91,0.91,000,0.91
2012-02-17,0.92,0.92,0.92,0.92,000,0.92
2012-02-16,0.92,0.92,0.92,0.92,000,0.92
2012-02-15,0.92,0.92,0.92,0.92,000,0.92
2012-02-14,0.92,0.92,0.92,0.92,000,0.92
2012-02-13,0.92,0.92,0.92,0.92,000,0.92
2012-02-10,0.92,0.92,0.92,0.92,000,0.92
2012-02-09,0.91,0.91,0.91,0.91,000,0.91
2012-02-08,0.91,0.91,0.91,0.91,000,0.91
2012-02-07,0.91,0.91,0.91,0.91,000,0.91
2012-02-06,0.92,0.92,0.92,0.92,000,0.92
2012-02-03,0.92,0.92,0.92,0.92,000,0.92
2012-02-02,0.92,0.92,0.92,0.92,000,0.92
2012-02-01,0.91,0.91,0.91,0.91,000,0.91
2012-01-31,0.92,0.92,0.92,0.92,000,0.92
2012-01-30,0.92,0.92,0.92,0.92,000,0.92
2012-01-27,0.91,0.91,0.91,0.91,000,0.91
2012-01-26,0.92,0.92,0.92,0.92,000,0.92
2012-01-25,0.92,0.92,0.92,0.92,000,0.92
2012-01-24,0.93,0.93,0.93,0.93,000,0.93
2012-01-23,0.93,0.93,0.93,0.93,000,0.93
2012-01-20,0.93,0.93,0.93,0.93,000,0.93
2012-01-19,0.93,0.93,0.93,0.93,000,0.93
2012-01-18,0.94,0.94,0.94,0.94,000,0.94
2012-01-17,0.95,0.95,0.95,0.95,000,0.95
2012-01-16,0.96,0.96,0.96,0.96,000,0.96
2012-01-13,0.95,0.95,0.95,0.95,000,0.95
2012-01-12,0.94,0.94,0.94,0.94,000,0.94
2012-01-11,0.95,0.95,0.95,0.95,000,0.95
2012-01-10,0.95,0.95,0.95,0.95,000,0.95
2012-01-09,0.95,0.95,0.95,0.95,000,0.95
2012-01-06,0.96,0.96,0.96,0.96,000,0.96
2012-01-05,0.95,0.95,0.95,0.95,000,0.95
2012-01-04,0.94,0.94,0.94,0.94,000,0.94
2012-01-03,0.93,0.93,0.93,0.93,000,0.93
2012-01-02,0.94,0.94,0.94,0.94,000,0.94
2011-12-30,0.94,0.94,0.94,0.94,000,0.94
2011-12-29,0.94,0.94,0.94,0.94,000,0.94
2011-12-28,0.94,0.94,0.94,0.94,000,0.94
2011-12-27,0.93,0.93,0.93,0.93,000,0.93
2011-12-26,0.94,0.94,0.94,0.94,000,0.94
2011-12-23,0.94,0.94,0.94,0.94,000,0.94
2011-12-22,0.94,0.94,0.94,0.94,000,0.94
2011-12-21,0.94,0.94,0.94,0.94,000,0.94
2011-12-20,0.93,0.93,0.93,0.93,000,0.93
2011-12-19,0.94,0.94,0.94,0.94,000,0.94
2011-12-16,0.94,0.94,0.94,0.94,000,0.94
2011-12-15,0.94,0.94,0.94,0.94,000,0.94
2011-12-14,0.95,0.95,0.95,0.95,000,0.95
2011-12-13,0.95,0.95,0.95,0.95,000,0.95
2011-12-12,0.94,0.94,0.94,0.94,000,0.94
2011-12-09,0.92,0.92,0.92,0.92,000,0.92
2011-12-08,0.93,0.93,0.93,0.93,000,0.93
2011-12-07,0.92,0.92,0.92,0.92,000,0.92
2011-12-06,0.93,0.93,0.93,0.93,000,0.93
2011-12-05,0.92,0.92,0.92,0.92,000,0.92
2011-12-02,0.92,0.92,0.92,0.92,000,0.92
2011-12-01,0.92,0.92,0.92,0.92,000,0.92
2011-11-30,0.91,0.91,0.91,0.91,000,0.91
2011-11-29,0.92,0.92,0.92,0.92,000,0.92
2011-11-28,0.92,0.92,0.92,0.92,000,0.92
2011-11-25,0.93,0.93,0.93,0.93,000,0.93
2011-11-24,0.92,0.92,0.92,0.92,000,0.92
2011-11-23,0.92,0.92,0.92,0.92,000,0.92
2011-11-22,0.91,0.91,0.91,0.91,000,0.91
2011-11-21,0.92,0.92,0.92,0.92,000,0.92
2011-11-18,0.92,0.92,0.92,0.92,000,0.92
2011-11-17,0.92,0.92,0.92,0.92,000,0.92
2011-11-16,0.92,0.92,0.92,0.92,000,0.92
2011-11-15,0.92,0.92,0.92,0.92,000,0.92
2011-11-14,0.91,0.91,0.91,0.91,000,0.91
2011-11-11,0.90,0.90,0.90,0.90,000,0.90
2011-11-10,0.91,0.91,0.91,0.91,000,0.91
2011-11-09,0.91,0.91,0.91,0.91,000,0.91
2011-11-08,0.90,0.90,0.90,0.90,000,0.90
2011-11-07,0.90,0.90,0.90,0.90,000,0.90
2011-11-04,0.89,0.89,0.89,0.89,000,0.89
2011-11-03,0.88,0.88,0.88,0.88,000,0.88
2011-11-02,0.88,0.88,0.88,0.88,000,0.88
2011-11-01,0.89,0.89,0.89,0.89,000,0.89
2011-10-31,0.88,0.88,0.88,0.88,000,0.88
2011-10-28,0.86,0.86,0.86,0.86,000,0.86
2011-10-27,0.86,0.86,0.86,0.86,000,0.86
2011-10-26,0.88,0.88,0.88,0.88,000,0.88
2011-10-25,0.88,0.88,0.88,0.88,000,0.88
2011-10-24,0.88,0.88,0.88,0.88,000,0.88
2011-10-21,0.88,0.88,0.88,0.88,000,0.88
2011-10-20,0.89,0.89,0.89,0.89,000,0.89
2011-10-19,0.90,0.90,0.90,0.90,000,0.90
2011-10-18,0.90,0.90,0.90,0.90,000,0.90
2011-10-17,0.90,0.90,0.90,0.90,000,0.90
2011-10-14,0.89,0.89,0.89,0.89,000,0.89
2011-10-13,0.90,0.90,0.90,0.90,000,0.90
2011-10-12,0.90,0.90,0.90,0.90,000,0.90
2011-10-11,0.91,0.91,0.91,0.91,000,0.91
2011-10-10,0.90,0.90,0.90,0.90,000,0.90
2011-10-07,0.93,0.93,0.93,0.93,000,0.93
2011-10-06,0.92,0.92,0.92,0.92,000,0.92
2011-10-05,0.92,0.92,0.92,0.92,000,0.92
2011-10-04,0.92,0.92,0.92,0.92,000,0.92
2011-10-03,0.92,0.92,0.92,0.92,000,0.92
2011-09-30,0.91,0.91,0.91,0.91,000,0.91
2011-09-29,0.90,0.90,0.90,0.90,000,0.90
2011-09-28,0.90,0.90,0.90,0.90,000,0.90
2011-09-27,0.90,0.90,0.90,0.90,000,0.90
2011-09-26,0.90,0.90,0.90,0.90,000,0.90
2011-09-23,0.91,0.91,0.91,0.91,000,0.91
2011-09-22,0.91,0.91,0.91,0.91,000,0.91
2011-09-21,0.90,0.90,0.90,0.90,000,0.90
2011-09-20,0.89,0.89,0.89,0.89,000,0.89
2011-09-19,0.88,0.88,0.88,0.88,000,0.88
2011-09-16,0.88,0.88,0.88,0.88,000,0.88
2011-09-15,0.87,0.87,0.87,0.87,000,0.87
2011-09-14,0.88,0.88,0.88,0.88,000,0.88
2011-09-13,0.88,0.88,0.88,0.88,000,0.88
2011-09-12,0.88,0.88,0.88,0.88,000,0.88
2011-09-09,0.88,0.88,0.88,0.88,000,0.88
2011-09-08,0.88,0.88,0.88,0.88,000,0.88
2011-09-07,0.79,0.79,0.79,0.79,000,0.79
2011-09-06,0.79,0.79,0.79,0.79,000,0.79
2011-09-05,0.79,0.79,0.79,0.79,000,0.79
2011-09-02,0.79,0.79,0.79,0.79,000,0.79
2011-09-01,0.79,0.79,0.79,0.79,000,0.79
2011-08-31,0.81,0.81,0.81,0.81,000,0.81
2011-08-30,0.82,0.82,0.82,0.82,000,0.82
2011-08-29,0.82,0.82,0.82,0.82,000,0.82
2011-08-26,0.81,0.81,0.81,0.81,000,0.81
2011-08-25,0.79,0.79,0.79,0.79,000,0.79
2011-08-24,0.80,0.80,0.80,0.80,000,0.80
2011-08-23,0.79,0.79,0.79,0.79,000,0.79
2011-08-22,0.79,0.79,0.79,0.79,000,0.79
2011-08-19,0.79,0.79,0.79,0.79,000,0.79
